ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784758078405,百合姫コミックス,ユリヒメコミックス,グッバイ・ディストピア 1,一迅社,イチジンシャ,ひそな,ヒソナ,2018-07-18,680,B6
9784758078900,百合姫コミックス,ユリヒメコミックス,グッバイ・ディストピア 2,一迅社,イチジンシャ,ひそな,ヒソナ,2018-12-18,680,B6
9784758076937,百合姫コミックス,ユリヒメコミックス,私の百合はお仕事です! 1,一迅社,イチジンシャ,未幡,ミマン,2017-06-16,680,B6
9784758077392,百合姫コミックス,ユリヒメコミックス,私の百合はお仕事です! 2,一迅社,イチジンシャ,未幡,ミマン,2017-10-18,680,B6
9784758078061,百合姫コミックス,ユリヒメコミックス,完全版 キミイロ少女,一迅社,イチジンシャ,未幡,ミマン,2018-04-18,680,B6
9784758078047,百合姫コミックス,ユリヒメコミックス,私の百合はお仕事です! 3,一迅社,イチジンシャ,未幡,ミマン,2018-04-18,680,B6
9784758078689,百合姫コミックス,ユリヒメコミックス,私の百合はお仕事です! 4,一迅社,イチジンシャ,未幡,ミマン,2018-11-15,680,B6
9784758078696,百合姫コミックス,ユリヒメコミックス,少女2 完全版,一迅社,イチジンシャ,未幡,ミマン,2018-11-15,680,B6
9784758077866,百合姫コミックス,ユリヒメコミックス,コイゴコロクリップ,一迅社,イチジンシャ,みもと,ミモト,2018-02-16,680,B6
9784758079129,百合姫コミックス,ユリヒメコミックス,スカーレット 1,一迅社,イチジンシャ,結野ちり,ユイノチリ,2019-02-18,680,B6
9784758077514,百合姫コミックス,ユリヒメコミックス,瞬きできない,一迅社,イチジンシャ,雪尾ゆき,ユキオユキ,2017-12-18,680,B6
9784778322489,None,None,淡島百景 1,太田出版,オオタシュッパン,志村貴子,シムラタカコ,2015-04-14,680,B6
9784778322823,None,None,淡島百景 2,太田出版,オオタシュッパン,志村貴子,シムラタカコ,2017-07-25,680,B6
9784778322960,None,None,杉並区立魔法女学園平和維持部,太田出版,オオタシュッパン,吉富昭二,ヨシトミアキヒト,2019-02-26,600,B6
9784048924320,None,None,エクレア あなたに響く百合アンソロジー,KADOKAWA,カドカワ,None,None,2016-11-26,780,B6
9784048929134,None,None,エクレアblanche あなたに響く百合アンソロジー,KADOKAWA,カドカワ,None,None,2017-06-26,850,B6
9784048935593,None,None,エクレアbleue あなたに響く百合アンソロジー,KADOKAWA,カドカワ,None,None,2018-01-26,850,B6
9784048937757,None,None,あの娘と目が合うたび私は 社会人百合アンソロジー,KADOKAWA,カドカワ,None,None,2018-04-27,780,B6
9784049120486,None,None,エクレアrouge あなたに響く百合アンソロジー,KADOKAWA,カドカワ,None,None,2018-09-27,880,B6
9784049123678,None,None,BRIDE's 新婚百合アンソロジー,KADOKAWA,カドカワ,None,None,2019-02-27,750,B6
9784049122398,None,None,好きなのは女の子,KADOKAWA,カドカワ,北尾タキ,キタオタキ,2018-12-25,680,B6
9784047287006,None,None,鳥籠の少女たち,KADOKAWA,カドカワ,クロマメ,クロマメ,2013-02-01,670,B6
9784040665566,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 1,KADOKAWA,カドカワ,缶乃,カンノ,2014-05-23,542,B6
9784040672205,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 2,KADOKAWA,カドカワ,缶乃,カンノ,2014-12-22,542,B6
9784040675381,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 3,KADOKAWA,カドカワ,缶乃,カンノ,2015-06-23,542,B6
9784040682013,MFコミックスalive,エムエフコミックスアライブ,あの娘にキスと白百合を 4,KADOKAWA,カドカワ,缶乃,カンノ,2016-02-23,550,B6
